"","X","Site_Name","Site_ID","Section","Month","Type","Date","Interaction_recorded..Y.N.","SpecimenCaught","UniqueID","EntryOrder","Day","Month.1","Year","Week","SampleDate","Surveyor","HabitatType","Survey","Site","HabitatType.Survey.Site","ITMx","ITMy","WGS84.ETRS89","WGS84.ETRS89.1","PlantSpecies","FlowerVisitorSpecies","Pollinator_caught","VisitorGroup","Genus","Sex","VisitationFrequency","FlowerAbundancePerPlantSpecies","MaxFlowerSize.mm.","FloralArea","Introduced.","Visitation.Rate","FlowerAbundanceTotal","TransectTime.mins.","AreaSampledm2","Rate","Groups.of.flower.visitors.registered..All.species..Only.bees..Bees.and.hoverflies..Bees.and.flies..etc.","InsectActivityRecorded..Feeding.or.Both.Feeding.and.F.lying","Site_Section","Site_Section_Month","gradient","gradienttype","groupfactor"
"11",11,"Killester",5,"Dis.Medium","May","Urban","4.5.18","Y","Y",20180003,13,4,5,18,1,"4.5.18","Cian White","WS3",1,"Kr","WS3Kr",720360,737971,NA,NA,"Taraxacum.agg","Platycheirus.albimanus","Y","Syrphid","Platycheirus","M",1,30,50,1500,"N",0.000666667,NA,7,358,51.14285714,"Bees and flies","Feeding","KillesterDis.Medium","KillesterDis.MediumMay","Medium","Urban Medium",NA
"12",12,"Killester",5,"Sports","May","Urban","4.5.18","N",NA,NA,15,4,5,18,1,"4.5.18","Cian White","GA2",1,"Kr","GA2Kr",720360,737971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,238,59.5,"Bees and flies","Feeding","KillesterSports","KillesterSportsMay","Medium","Urban Medium",NA
"13",13,"Killester",5,"Dis.Dense(S)","May","Urban","4.5.18","Y","N",NA,16,4,5,18,1,"4.5.18","Cian White","BC4",1,"Kr","BC4Kr",720360,737971,NA,NA,"Taraxacum.agg","Apis.mellifera","O","Honey.Bee","Apis","F",2,700,50,35000,"N",5.71e-05,NA,9,190,21.11111111,"Bees and flies","Feeding","KillesterDis.Dense(S)","KillesterDis.Dense(S)May","Medium","Urban Medium","bees"
"14",14,"Killester",5,"Green.Urban","May","Urban","4.5.18","Y","Y",20180004,17,4,5,18,1,"4.5.18","Cian White","GA2",1,"Kr","GA2Kr",720360,737971,NA,NA,"Heracleum.sphondylium","Syrphus.ribesii","Y","Syrphid","Syrphus","F",1,370,200,74000,"N",1.35e-05,NA,19,228,12,"Bees and flies","Feeding","KillesterGreen.Urban","KillesterGreen.UrbanMay","Medium","Urban Medium",NA
"15",15,"Killester",5,"Green.Urban","May","Urban","4.5.18","Y","Y",20180005,18,4,5,18,1,"4.5.18","Cian White","GA2",1,"Kr","GA2Kr",720360,737971,NA,NA,"Brassica.rapa","Melanostoma.scalare","Y","Syrphid","Melanostoma","M",1,66,26,1716,"I",0.000582751,NA,19,228,12,"Bees and flies","Feeding","KillesterGreen.Urban","KillesterGreen.UrbanMay","Medium","Urban Medium",NA
"16",16,"Killester",5,"Green.Urban","May","Urban","4.5.18","Y","Y",20180006,19,4,5,18,1,"4.5.18","Cian White","GA2",1,"Kr","GA2Kr",720360,737971,NA,NA,"Taraxacum.agg","Platycheirus.albimanus","Y","Syrphid","Platycheirus","M",1,120,50,6000,"N",0.000166667,NA,19,228,12,"Bees and flies","Feeding","KillesterGreen.Urban","KillesterGreen.UrbanMay","Medium","Urban Medium",NA
"17",17,"Killester",5,"Industrial","May","Urban","4.5.18","N",NA,NA,21,4,5,18,1,"4.5.18","Cian White","BC4",1,"Kr","BC4Kr",720360,737971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,300,42.85714286,"Bees and flies","Feeding","KillesterIndustrial","KillesterIndustrialMay","Medium","Urban Medium",NA
"18",18,"Killester",5,"Dis.Dense(L)","May","Urban","4.5.18","N",NA,NA,22,4,5,18,1,"4.5.18","Cian White","BC4",1,"Kr","BC4Kr",720360,737971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,500,55.55555556,"Bees and flies","Feeding","KillesterDis.Dense(L)","KillesterDis.Dense(L)May","Medium","Urban Medium",NA
"19",19,"Templeogue",6,"Other.Roads","May","Urban","8.5.18","Y",NA,NA,23,8,5,18,2,"8.5.18","Cian White","BC4",1,"Te","BC4Te",712774,728445,NA,NA,"Buddleja.davidii","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,6,200,1200,"",0.000833333,NA,6,162,27,"","","TempleogueOther.Roads","TempleogueOther.RoadsMay","Medium","Urban Medium","bees"
"20",20,"Templeogue",6,"Dis.Medium","May","Urban","8.5.18","N",NA,NA,892,8,5,18,2,"8.5.18","Cian White","BC4",1,"Te","BC4Te",712774,728445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,404,40.4,"","","TempleogueDis.Medium","TempleogueDis.MediumMay","Medium","Urban Medium",NA
"21",21,"Templeogue",6,"Dis.Dense(S)","May","Urban","8.5.18","Y",NA,NA,893,8,5,18,2,"8.5.18","Cian White","WS3",1,"Te","WS3Te",712774,728445,NA,NA,"Cotoneaster.hybridus.pendulus","Andrena.haemorrhea","M","Solitary.Bee","Andrena","F",1,5000,15,75000,"",1.33e-05,NA,12,248,20.66666667,"","","TempleogueDis.Dense(S)","TempleogueDis.Dense(S)May","Medium","Urban Medium","bees"
"22",22,"Templeogue",6,"Dis.Dense(L)","May","Urban","8.5.18","Y","Y",20180420,894,8,5,18,2,"8.5.18","Cian White","WS3",1,"Te","WS3Te",712774,728445,NA,NA,"Cardamine.pratensis","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,100,20,2000,"",5e-04,NA,22,500,22.72727273,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)May","Medium","Urban Medium","bees"
"23",23,"Templeogue",6,"Dis.Dense(L)","May","Urban","8.5.18","Y","N",NA,895,8,5,18,2,"8.5.18","Cian White","WS3",1,"Te","WS3Te",712774,728445,NA,NA,"Lonicera.nitida","Apis.mellifera","O","Honey.Bee","Apis","F",2,900,15,13500,"",0.000148148,NA,22,500,22.72727273,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)May","Medium","Urban Medium","bees"
"24",24,"Templeogue",6,"Dis.Dense(L)","May","Urban","8.5.18","Y","Y",20180421,896,8,5,18,2,"8.5.18","Cian White","WS3",1,"Te","WS3Te",712774,728445,NA,NA,"Lonicera.nitida","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",2,900,15,13500,"",0.000148148,NA,22,500,22.72727273,"","","TempleogueDis.Dense(L)","TempleogueDis.Dense(L)May","Medium","Urban Medium","bees"
"25",25,"Templeogue",6,"Land.No.Use","May","Urban","8.5.18","Y","Y",20180422,898,8,5,18,2,"8.5.18","Cian White","GS2",1,"Te","GS2Te",712774,728445,NA,NA,"Vicia.sepium","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,500,34,17000,"",5.88e-05,NA,4,40,10,"","","TempleogueLand.No.Use","TempleogueLand.No.UseMay","Medium","Urban Medium","bees"
"26",26,"Templeogue",6,"Industrial","May","Urban","8.5.18","Y","N",NA,899,8,5,18,2,"8.5.18","Cian White","BC4",1,"Te","BC4Te",712774,728445,NA,NA,"Hycainthoides.non-scripta","Hoverfly","M","Syrphid",NA,"F",2,200,20,4000,"",5e-04,NA,9,162,18,"","","TempleogueIndustrial","TempleogueIndustrialMay","Medium","Urban Medium",NA
"27",27,"Templeogue",6,"Sports","May","Urban","8.5.18","N",NA,NA,899,8,5,18,2,"8.5.18","Cian White","GA2",1,"Te","GA2Te",712774,728445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,222,55.5,"","","TempleogueSports","TempleogueSportsMay","Medium","Urban Medium",NA
"28",28,"Templeogue",6,"Green.Urban","May","Urban","8.5.18","Y","Y",20180423,900,8,5,18,2,"8.5.18","Cian White","WL1",1,"Te","WL1Te",712774,728445,NA,NA,"Anthriscus.sylvestris","Syrphus.ribesii","Y","Syrphid","Syrphus","1M",2,1500,70,105000,"",1.9e-05,NA,22,262,11.90909091,"","","TempleogueGreen.Urban","TempleogueGreen.UrbanMay","Medium","Urban Medium",NA
"29",29,"Goatstown",4,"Sports","May","Urban","3.5.18","N",NA,NA,902,3,5,18,1,"3.5.18","Cian White","GA2",1,"GT","GA2GT",718194,728649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,120,30,"","","GoatstownSports","GoatstownSportsMay","Medium","Urban Medium",NA
"30",30,"Goatstown",4,"Land.No.Use","May","Urban","3.5.18","N",NA,NA,903,3,5,18,1,"3.5.18","Cian White","GS2",1,"GT","GS2GT",718194,728649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,100,25,"","","GoatstownLand.No.Use","GoatstownLand.No.UseMay","Medium","Urban Medium",NA
"31",31,"Goatstown",4,"Other.Roads","May","Urban","3.5.18","N",NA,NA,904,3,5,18,1,"3.5.18","Cian White","WS3",1,"GT","WS3GT",718194,728649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,160,22.85714286,"","","GoatstownOther.Roads","GoatstownOther.RoadsMay","Medium","Urban Medium",NA
"32",32,"Goatstown",4,"Dis.Medium(S)","May","Urban","3.5.18","N",NA,NA,905,3,5,18,1,"3.5.18","Cian White","BC4",1,"GT","BC4GT",718194,728649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,120,30,"","","GoatstownDis.Medium(S)","GoatstownDis.Medium(S)May","Medium","Urban Medium",NA
"33",33,"Goatstown",4,"Dis.Dense","May","Urban","3.5.18","Y","Y",20180426,907,3,5,18,1,"3.5.18","Cian White","BC4",1,"GT","BC4GT",718194,728649,NA,NA,"Smyrnium.olusatrum","Melanostoma.scalare","Y","Syrphid","Melanostoma","F",1,224,200,44800,"",2.23e-05,NA,25,500,20,"","","GoatstownDis.Dense","GoatstownDis.DenseMay","Medium","Urban Medium",NA
"34",34,"Goatstown",4,"Dis.Dense","May","Urban","3.5.18","Y","Y",20180427,908,3,5,18,1,"3.5.18","Cian White","BC4",1,"GT","BC4GT",718194,728649,NA,NA,"Smyrnium.olusatrum","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,224,200,44800,"",2.23e-05,NA,25,500,20,"","","GoatstownDis.Dense","GoatstownDis.DenseMay","Medium","Urban Medium",NA
"35",35,"Goatstown",4,"Dis.Dense","May","Urban","3.5.18","Y","Y",20180429,910,3,5,18,1,"3.5.18","Cian White","BC4",1,"GT","BC4GT",718194,728649,NA,NA,"Smyrnium.olusatrum","Epistrophe.elegans","Y","Syrphid","Epistrophe","M",1,224,200,44800,"",2.23e-05,NA,25,500,20,"","","GoatstownDis.Dense","GoatstownDis.DenseMay","Medium","Urban Medium",NA
"36",36,"Goatstown",4,"Dis.Medium(L)","May","Urban","3.5.18","N",NA,NA,911,3,5,18,1,"3.5.18","Cian White","WS3",1,"GT","WS3GT",718194,728649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,500,50,"","","GoatstownDis.Medium(L)","GoatstownDis.Medium(L)May","Medium","Urban Medium",NA
"37",37,"Goatstown",4,"Industrial","May","Urban","3.5.18","Y","N",NA,912,3,5,18,1,"3.5.18","Cian White","WD5",1,"GT","WD5GT",718194,728649,NA,NA,"Rosmarinus.officinalis","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,300,20,6000,"",0.000166667,NA,12,380,31.66666667,"","","GoatstownIndustrial","GoatstownIndustrialMay","Medium","Urban Medium","bees"
"38",38,"Goatstown",4,"Industrial","May","Urban","3.5.18","Y","N",20180447,913,3,5,18,1,"3.5.18","Cian White","WD5",1,"GT","WD5GT",718194,728649,NA,NA,"Rosmarinus.officinalis","Apis.mellifera","O","Honey.Bee","Apis","F",1,300,20,6000,"",0.000166667,NA,12,380,31.66666667,"","","GoatstownIndustrial","GoatstownIndustrialMay","Medium","Urban Medium","bees"
"39",39,"Goatstown",4,"Green.Urban","May","Urban","3.5.18","Y","N",20180448,914,3,5,18,1,"3.5.18","Cian White","WD5",1,"GT","WD5GT",718194,728649,NA,NA,"Veronica.persica","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,30,5,150,"",0.006666667,NA,4,120,30,"","","GoatstownGreen.Urban","GoatstownGreen.UrbanMay","Medium","Urban Medium",NA
"40",40,"Dolphins.Barn",1,"Dis.Dense(Hospital)","May","Urban","13.5.18","Y","Y",20180430,915,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,"Ceanothus.agg","Apis.mellifera","Y","Honey.Bee","Apis","F",3,700,40,28000,"",0.000107143,NA,29,500,17.24137931,"","","Dolphins.BarnDis.Dense(Hospital)","Dolphins.BarnDis.Dense(Hospital)May","High","Urban High","bees"
"41",41,"Dolphins.Barn",1,"Dis.Dense(Hospital)","May","Urban","13.5.18","Y","Y",20180432,917,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,"Bellis.perennis","Platycheirus.scutatus(agg)","Y","Syrphid","Platycheirus","F",1,150,25,3750,"",0.000266667,NA,29,500,17.24137931,"","","Dolphins.BarnDis.Dense(Hospital)","Dolphins.BarnDis.Dense(Hospital)May","High","Urban High",NA
"42",42,"Dolphins.Barn",1,"Dis.Dense(Hospital)","May","Urban","13.5.18","Y","Y",20180433,918,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,"Bunias.orientalis","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,120,10,1200,"",0.000833333,NA,29,500,17.24137931,"","","Dolphins.BarnDis.Dense(Hospital)","Dolphins.BarnDis.Dense(Hospital)May","High","Urban High",NA
"43",43,"Dolphins.Barn",1,"Dis.Dense(Hospital)","May","Urban","13.5.18","Y",NA,NA,919,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,"Allium.triquetrum","Diptera","","Diptera",NA,"F",1,1200,18,21600,"",4.63e-05,NA,29,500,17.24137931,"","","Dolphins.BarnDis.Dense(Hospital)","Dolphins.BarnDis.Dense(Hospital)May","High","Urban High",NA
"44",44,"Dolphins.Barn",1,"Other.Roads","May","Urban","13.5.18","N",NA,NA,920,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,320,53.33333333,"","","Dolphins.BarnOther.Roads","Dolphins.BarnOther.RoadsMay","High","Urban High",NA
"45",45,"Dolphins.Barn",1,"Industrial","May","Urban","13.5.18","N",NA,NA,921,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,500,71.42857143,"","","Dolphins.BarnIndustrial","Dolphins.BarnIndustrialMay","High","Urban High",NA
"46",46,"Dolphins.Barn",1,"Continuous.Urban.Fabric","May","Urban","13.5.18","N",NA,NA,922,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,360,72,"","","Dolphins.BarnContinuous.Urban.Fabric","Dolphins.BarnContinuous.Urban.FabricMay","High","Urban High",NA
"47",47,"Dolphins.Barn",1,"Sports","May","Urban","13.5.18","N",NA,NA,923,13,5,18,3,"13.5.18","Cian White","GA2",1,"DB","GA2DB",714384,732638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,130,43.33333333,"","","Dolphins.BarnSports","Dolphins.BarnSportsMay","High","Urban High",NA
"48",48,"Dolphins.Barn",1,"Dis.Dense(Kimmage)","May","Urban","13.5.18","N",NA,NA,924,13,5,18,3,"13.5.18","Cian White","BC4",1,"DB","BC4DB",714384,732638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,192,38.4,"","","Dolphins.BarnDis.Dense(Kimmage)","Dolphins.BarnDis.Dense(Kimmage)May","High","Urban High",NA
"49",49,"JFK",2,"Fast.Transit","May","Urban","13.5.18","N",NA,NA,925,13,5,18,3,"13.5.18","Cian White","BL3",1,"JK","BL3JK",709551,731847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,60,20,"","","JFKFast.Transit","JFKFast.TransitMay","High","Urban High",NA
"50",50,"JFK",2,"Green.Urban","May","Urban","13.5.18","N",NA,NA,926,13,5,18,3,"13.5.18","Cian White","WD5",1,"JK","WD5JK",709551,731847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50,16.66666667,"","","JFKGreen.Urban","JFKGreen.UrbanMay","High","Urban High",NA
"51",51,"JFK",2,"Sports","May","Urban","13.5.18","N",NA,NA,927,13,5,18,3,"13.5.18","Cian White","GA2",1,"JK","GA2JK",709551,731847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50,16.66666667,"","","JFKSports","JFKSportsMay","High","Urban High",NA
"52",52,"JFK",2,"Other.Roads","May","Urban","13.5.18","Y","N",NA,928,13,5,18,3,"13.5.18","Cian White","WL1",1,"JK","WL1JK",709551,731847,NA,NA,"Prunus.spinosa","Apis.mellifera","O","Honey.Bee","Apis","F",3,700,15,10500,"",0.000285714,NA,14,150,10.71428571,"","","JFKOther.Roads","JFKOther.RoadsMay","High","Urban High","bees"
"53",53,"JFK",2,"Other.Roads","May","Urban","13.5.18","Y","N",NA,929,13,5,18,3,"13.5.18","Cian White","WL1",1,"JK","WL1JK",709551,731847,NA,NA,"Prunus.spinosa","Diptera","O","Diptera",NA,"F",1,700,15,10500,"",9.52e-05,NA,14,150,10.71428571,"","","JFKOther.Roads","JFKOther.RoadsMay","High","Urban High",NA
"54",54,"JFK",2,"Other.Roads","May","Urban","13.5.18","Y","N",NA,930,13,5,18,3,"13.5.18","Cian White","WL1",1,"JK","WL1JK",709551,731847,NA,NA,"Smyrnium.olusatrum","Diptera","M","Diptera",NA,"F",7,2600,200,520000,"",1.35e-05,NA,14,150,10.71428571,"","","JFKOther.Roads","JFKOther.RoadsMay","High","Urban High",NA
"55",55,"JFK",2,"Other.Roads","May","Urban","13.5.18","Y","N",NA,932,13,5,18,3,"13.5.18","Cian White","WL1",1,"JK","WL1JK",709551,731847,NA,NA,"Vicia.sepium","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,390,34,13260,"",7.54e-05,NA,14,150,10.71428571,"","","JFKOther.Roads","JFKOther.RoadsMay","High","Urban High","bees"
"56",56,"JFK",2,"Other.Roads","May","Urban","13.5.18","Y","N",NA,933,13,5,18,3,"13.5.18","Cian White","WL1",1,"JK","WL1JK",709551,731847,NA,NA,"Vicia.sepium","Orange.Tip","O","Lepidoptera",NA,"F",1,390,34,13260,"",7.54e-05,NA,14,150,10.71428571,"","","JFKOther.Roads","JFKOther.RoadsMay","High","Urban High",NA
"57",57,"JFK",2,"Other.Roads","May","Urban","13.5.18","Y","Y",20180434,934,13,5,18,3,"13.5.18","Cian White","WL1",1,"JK","WL1JK",709551,731847,NA,NA,"Brassica.rapa","Platycheirus.albimanus","Y","Syrphid","Platycheirus","M",1,80,26,2080,"",0.000480769,NA,14,150,10.71428571,"","","JFKOther.Roads","JFKOther.RoadsMay","High","Urban High",NA
"58",58,"JFK",2,"Other.Roads","May","Urban","13.5.18","Y","N",NA,935,13,5,18,3,"13.5.18","Cian White","WL1",1,"JK","WL1JK",709551,731847,NA,NA,"Centranthus.ruber","Meadow.Blue","O","Lepidoptera",NA,"F",1,3,180,540,"",0.001851852,NA,14,150,10.71428571,"","","JFKOther.Roads","JFKOther.RoadsMay","High","Urban High",NA
"59",59,"JFK",2,"Industrial(Red.Cow)","May","Urban","13.5.18","Y","Y",20180435,936,13,5,18,3,"13.5.18","Cian White","GS2",1,"JK","GS2JK",709551,731847,NA,NA,"Plantago.lanceolata","Sphaerophoria(agg)","Y","Syrphid","Sphaerophoria","M",1,60,40,2400,"",0.000416667,NA,20,500,25,"","","JFKIndustrial(Red.Cow)","JFKIndustrial(Red.Cow)May","High","Urban High",NA
"60",60,"JFK",2,"Industrial(Red.Cow)","May","Urban","13.5.18","Y","N",NA,939,13,5,18,3,"13.5.18","Cian White","GS2",1,"JK","GS2JK",709551,731847,NA,NA,"Berberis.darwinii","Bombus.terrestris","O","Bumble.Bee","Bombus","F",1,6,8,48,"",0.020833333,NA,20,500,25,"","","JFKIndustrial(Red.Cow)","JFKIndustrial(Red.Cow)May","High","Urban High","bees"
"61",61,"JFK",2,"Industrial(Red.Cow)","May","Urban","13.5.18","Y","Y",20180436,940,13,5,18,3,"13.5.18","Cian White","GS2",1,"JK","GS2JK",709551,731847,NA,NA,"Taraxacum.agg","Platycheirus.manicatus","Y","Syrphid","Platycheirus","M",1,100,50,5000,"",2e-04,NA,20,500,25,"","","JFKIndustrial(Red.Cow)","JFKIndustrial(Red.Cow)May","High","Urban High",NA
"62",62,"JFK",2,"Industrial(Red.Cow)","May","Urban","13.5.18","Y","Y",20180437,941,13,5,18,3,"13.5.18","Cian White","GS2",1,"JK","GS2JK",709551,731847,NA,NA,"Taraxacum.agg","Heliophilus.pendulus","Y","Syrphid","Heliophilus","M",1,100,50,5000,"",2e-04,NA,20,500,25,"","","JFKIndustrial(Red.Cow)","JFKIndustrial(Red.Cow)May","High","Urban High",NA
"63",63,"JFK",2,"Industrial(Red.Cow)","May","Urban","13.5.18","Y","Y",20180438,942,13,5,18,3,"13.5.18","Cian White","GS2",1,"JK","GS2JK",709551,731847,NA,NA,"Taraxacum.agg","Platycheirus.manicatus","Y","Syrphid","Platycheirus","F",1,100,50,5000,"",2e-04,NA,20,500,25,"","","JFKIndustrial(Red.Cow)","JFKIndustrial(Red.Cow)May","High","Urban High",NA
"64",64,"JFK",2,"Industrial(City.West)","May","Urban","13.5.18","Y","N",NA,943,13,5,18,3,"13.5.18","Cian White","BC4",1,"JK","BC4JK",709551,731847,NA,NA,"Allium.triquetrum","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,8,18,144,"",0.006944444,NA,30,400,13.33333333,"","","JFKIndustrial(City.West)","JFKIndustrial(City.West)May","High","Urban High","bees"
"65",65,"JFK",2,"Industrial(City.West)","May","Urban","13.5.18","Y","Y",20180439,945,13,5,18,3,"13.5.18","Cian White","BC4",1,"JK","BC4JK",709551,731847,NA,NA,"Taraxacum.agg","Lassioglossum.calceatum","Y","Solitary.Bee","Lassioglossum","F",1,190,50,9500,"",0.000105263,NA,30,400,13.33333333,"","","JFKIndustrial(City.West)","JFKIndustrial(City.West)May","High","Urban High","bees"
